# Famous bright stars from Steve Kent & Alex Drlica-Wagner
# https://heasarc.gsfc.nasa.gov/W3Browse/star-catalog/bsc5p.html
# https://cdcvs.fnal.gov/redmine/projects/des-y6/wiki/Y6A2_Gold_foreground_regions
id,ra,dec,vmag,radius,name
15,  2.0971, 29.0906,  2.0600,  1.0000,21Alp And       
39,  3.3092, 15.1836,  2.8300,  0.6000,88Gam Peg       
74,  4.8571, -8.8239,  3.5600,  0.5000,8Iot Cet        
90,  6.0083, 38.5772,  7.3900,  0.5000,                
98,  6.4379,-77.2542,  2.8000,  0.6000,Bet Hyi         
165,  9.8321, 30.8608,  3.2700,  0.5000,31Del And       
188, 10.8975,-17.9867,  2.0400,  1.0000,16Bet Cet       
322, 16.5208,-46.7186,  3.3100,  0.5000,Bet Phe         
334, 17.1475,-10.1822,  3.4500,  0.5000,31Eta Cet       
337, 17.4329, 35.6206,  2.0600,  1.0000,43Bet And       
424, 37.9529, 89.2642,  2.0200,  1.0000,1Alp UMi        
429, 22.0912,-43.3183,  3.4100,  0.5000,Gam Phe         
464, 24.4983, 48.6283,  3.5700,  0.5000,51    And       
553, 28.6600, 20.8081,  2.6400,  0.7000,6Bet Ari        
555, 28.4117,-46.3025,  4.4100,  0.5000,Psi Phe         
585, 30.0012,-21.0778,  4.0000,  0.5000,59Ups Cet       
603, 30.9750, 42.3297,  2.2600,  0.9000,57Gam1And       
617, 31.7933, 23.4625,  2.0000,  1.0000,13Alp Ari       
622, 32.3858, 34.9872,  3.0000,  0.5000,4Bet Tri        
681, 34.8363, -2.9775,  3.0400,  0.5000,68Omi Cet       
867, 43.9521, 18.3317,  5.9100,  0.5000,45Rho2Ari       
868, 43.4704,-49.8903,  4.0000,  0.5000,                
911, 45.5700,  4.0897,  2.5300,  0.7000,92Alp Cet       
921, 46.2942, 38.8403,  3.3900,  0.5000,25Rho Per       
936, 47.0421, 40.9556,  2.1200,  0.9000,26Bet Per       
1003, 49.8792,-21.7578,  3.6900,  0.5000,16Tau4Eri       
1165, 56.8713, 24.1050,  2.8700,  0.6000,25Eta Tau       
1203, 58.5329, 31.8836,  2.8500,  0.6000,44Zet Per       
1208, 56.8096,-74.2389,  3.2400,  0.5000,Gam Hyi         
1220, 59.4633, 40.0103,  2.8900,  0.6000,45Eps Per       
1336, 63.6063,-62.4739,  3.3500,  0.5000,Alp Ret         
1457, 68.9800, 16.5092,  0.8500,  1.5000,87Alp Tau       
1496, 70.1104,-19.6717,  4.3200,  0.5000,54    Eri       
1543, 72.4600,  6.9614,  3.1900,  0.5000,1Pi 3Ori        
1654, 76.3654,-22.3711,  3.1900,  0.5000,2Eps Lep        
1666, 76.9625, -5.0864,  2.7900,  0.6000,67Bet Eri       
1713, 78.6346, -8.2017,  0.1200,  1.9000,19Bet Ori       
1790, 81.2829,  6.3497,  1.6400,  1.2000,24Gam Ori       
1829, 82.0612,-20.7594,  2.8400,  0.6000,9Bet Lep        
1852, 83.0017, -0.2992,  2.2300,  0.9000,34Del Ori       
1865, 83.1825,-17.8222,  2.5800,  0.7000,11Alp Lep       
1899, 83.8583, -5.9100,  2.7700,  0.6000,44Iot Ori       
1903, 84.0533, -1.2019,  1.7000,  1.1000,46Eps Ori       
1948, 85.1896, -1.9428,  2.0500,  1.0000,50Zet Ori       
2040, 87.7400,-35.7683,  3.1200,  0.5000,Bet Col         
2088, 89.8821, 44.9475,  1.9000,  1.0000,34Bet Aur       
2091, 89.9837, 45.9369,  4.2600,  0.5000,35Pi  Aur       
2156, 91.4404,-24.1956,  6.9500,  0.5000,                
2294, 95.6750,-17.9558,  1.9800,  1.0000,2Bet CMa        
2473,100.9829, 25.1311,  2.9800,  0.5000,27Eps Gem       
2553,102.4842,-50.6147,  2.9300,  0.5000,Tau Pup         
2618,104.6562,-28.9722,  1.5000,  1.2000,21Eps CMa       
2646,105.4296,-27.9347,  3.4700,  0.5000,22Sig CMa       
2671,106.8392, 22.7036,  7.6800,  0.5000,                
2748,108.3850,-44.6397,  5.1000,  0.5000,                
2773,109.2858,-37.0975,  2.7000,  0.6000,Pi  Pup         
2845,111.7875,  8.2894,  2.9000,  0.5000,3Bet CMi        
2878,112.3075,-43.3014,  3.2500,  0.5000,Sig Pup         
2890,113.6500, 31.8886,  2.8800,  0.6000,66Alp Gem       
2891,113.6500, 31.8883,  1.9800,  1.0000,66Alp Gem       
2943,114.8254,  5.2250,  0.3800,  1.8000,10Alp CMi       
2990,116.3288, 28.0261,  1.1400,  1.4000,78Bet Gem       
3248,124.1413, 11.7264,  7.1300,  0.5000,                
3249,124.1288,  9.1856,  3.5200,  0.5000,17Bet Cnc       
3307,125.6283,-59.5097,  1.8600,  1.1000,Eps Car         
3323,127.5663, 60.7181,  3.3600,  0.5000,1Omi UMa        
3482,131.6942,  6.4189,  3.3800,  0.5000,11Eps Hya       
3547,133.8483,  5.9456,  3.1100,  0.5000,16Zet Hya       
3639,137.6613, 30.9631,  5.9500,  0.5000,                
3705,140.2637, 34.3925,  3.1300,  0.5000,40Alp Lyn       
3748,141.8967, -8.6586,  1.9800,  1.0000,30Alp Hya       
3775,143.2142, 51.6772,  3.1700,  0.5000,25The UMa       
3873,146.4629, 23.7742,  2.9800,  0.5000,17Eps Leo       
3882,146.8896, 11.4289,  6.0200,  0.5000,                
3982,152.0929, 11.9672,  1.3500,  1.3000,32Alp Leo       
4057,154.9929, 19.8417,  2.6100,  0.7000,41Gam1Leo       
4069,155.5821, 41.4994,  3.0500,  0.5000,34Mu  UMa       
4094,156.5225,-16.8364,  3.8100,  0.5000,42Mu  Hya       
4232,162.4062,-16.1936,  3.1100,  0.5000,Nu  Hya         
4267,164.0063,  6.1853,  5.8100,  0.5000,56    Leo       
4295,165.4604, 56.3825,  2.3700,  0.8000,48Bet UMa       
4301,165.9321, 61.7508,  1.7900,  1.1000,50Alp UMa       
4335,167.4158, 44.4986,  3.0100,  0.5000,52Psi UMa       
